road,id,model_type,name,lat,lon,length,condition
N1,100001,source,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,8.011,
N1,100002,bridge,Kachpur bridge,23.7021111,90.5157778,0.41800000000000104,
N1,100003,link,Bridge end,23.7045833,90.5188327,3.315999999999999,
N1,100004,bridge,Bridge start,23.6911108,90.5448886,0.026000000000001577,
N1,100005,link,Bridge end,23.6910552,90.5451386,4.471,
N1,100006,bridge,Langalbandhu bridge,23.6591111,90.5697216,0.16000000000000014,
N1,100007,link,Bridge end,23.6583056,90.5709993,0.4289999999999985,
N1,100008,bridge,Bridge start,23.6559722,90.5743327,0.021000000000000796,
N1,100009,link,Bridge end,23.6559167,90.5745271,0.3520000000000003,
N1,100010,bridge,Bridge start,23.6540556,90.5772771,0.030000000000001137,
N1,100011,link,Bridge end,23.6539167,90.5774993,0.6289999999999978,
N1,100012,bridge,Bridge start,23.6508889,90.5826382,0.04100000000000037,B
N1,100013,link,Bridge end,23.6506944,90.5829993,2.437999999999999,
N1,100014,bridge,Bridge start,23.6341108,90.5970274,0.10000000000000142,
N1,100015,link,Bridge end,23.6335552,90.5976941,1.3230000000000004,
N1,100016,bridge,Bridge start,23.6242216,90.6055278,0.22799999999999798,
N1,100017,link,Bridge end,23.6224993,90.6066944,0.25900000000000034,
N1,100018,bridge,Bridge start,23.6204716,90.6079722,0.12199999999999989,
N1,100019,link,Bridge end,23.6195271,90.6085833,1.1900000000000013,
N1,100020,bridge,Meghna  bridge,23.6095556,90.6121944,0.9390000000000001,A
N1,100021,link,Bridge end,23.6018611,90.6159722,3.0,
N1,100022,bridge,Bridge start,23.5837497,90.6369441,0.16499999999999915,
N1,100023,bridge,Bridge end,23.5825827,90.6381386,0.6560000000000024,
N1,100024,bridge,Bridge start,23.577916,90.6419719,0.038999999999997925,A
N1,100025,link,Bridge end,23.5776104,90.6421108,0.7040000000000006,
N1,100026,bridge,Bridge start,23.572166,90.6451108,0.045999999999999375,A
N1,100027,link,Bridge end,23.5718327,90.6453052,1.0139999999999993,
N1,100028,bridge,Bridge start,23.5639167,90.6501944,0.038000000000000256,
N1,100029,link,Bridge end,23.5636944,90.6504722,0.532,
N1,100030,bridge,Bridge start,23.5604167,90.6542222,0.038000000000000256,
N1,100031,link,Bridge end,23.5602222,90.6545,0.6129999999999995,
N1,100032,bridge,Bridge start,23.5564444,90.6588611,0.0400000000000027,
N1,100033,link,Bridge end,23.5562222,90.6591389,1.4430000000000014,
N1,100034,bridge,Bridge start,23.5474163,90.6694438,0.07699999999999818,
N1,100035,link,Bridge end,23.5469441,90.6699993,1.732999999999997,
N1,100036,bridge,Bridge start,23.536083,90.6821382,0.03999999999999915,
N1,100037,link,Bridge end,23.5358608,90.6823604,1.5900000000000034,
N1,100038,bridge,Daudkandi bridge,23.529916,90.6952219,1.4140000000000015,A
N1,100039,link,Daudkandi bridge,23.5307771,90.7090278,0.857999999999997,
N1,100040,bridge,Bridge start,23.5315271,90.7173604,0.017000000000003013,
N1,100041,link,Bridge end,23.5315827,90.7176104,3.6679999999999993,
N1,100042,bridge,Bridge start,23.5293882,90.7514167,0.016999999999995907,
N1,100043,link,Bridge end,23.5293882,90.7515833,5.427,
N1,100044,bridge,Bridge start,23.5308882,90.8041389,0.020000000000003126,
N1,100045,link,Bridge end,23.530916,90.8043611,2.1709999999999994,
N1,100046,bridge,Bridge start,23.5346663,90.8249716,0.015999999999998238,
N1,100047,link,Bridge end,23.5347219,90.8251104,5.454000000000001,
N1,100048,bridge,Bridge start,23.5133056,90.8703049,0.04200000000000159,C
N1,100049,link,Bridge end,23.5131111,90.8706382,15.152000000000001,
N1,100050,bridge,Bridge start,23.4890552,91.0120278,0.030000000000001137,C
N1,100051,link,Bridge end,23.4889441,91.01225,16.575000000000003,
N1,100052,bridge,Bridge start,23.448833,91.1471386,0.02400000000000091,
N1,100053,link,Bridge end,23.4486386,91.1472497,3.364999999999995,
N1,100054,bridge,Bridge start,23.4235827,91.1629722,0.03700000000000614,
N1,100055,link,Bridge end,23.423416,91.1632778,2.073999999999998,
N1,100056,bridge,Bridge start,23.4131111,91.1846663,0.027999999999991587,
N1,100057,link,Bridge end,23.4130556,91.1849163,3.6850000000000023,
N1,100058,bridge,Bridge start,23.40375,91.2176382,0.028999999999996362,
N1,100059,link,Bridge end,23.4035556,91.2178049,3.6970000000000027,
N1,100060,bridge,Bridge start,23.3779716,91.2403608,0.030000000000001137,
N1,100061,link,Bridge end,23.3777493,91.2405274,2.5130000000000052,
N1,100062,bridge,Bridge start,23.3586389,91.25325,0.02400000000000091,
N1,100063,link,Bridge end,23.3584444,91.2533333,3.053999999999988,
N1,100064,bridge,Bridge start,23.3360274,91.2700549,0.04400000000001114,
N1,100065,link,Bridge end,23.3357219,91.2703049,1.5849999999999937,
N1,100066,bridge,Bridge start,23.324166,91.2791104,0.010000000000005116,
N1,100067,link,Bridge end,23.3240827,91.279166,1.1869999999999976,
N1,100068,bridge,Bridge start,23.3149444,91.2844719,0.019000000000005457,
N1,100069,link,Bridge end,23.31475,91.2845552,2.2299999999999898,
N1,100070,bridge,Bridge start,23.296083,91.2914997,0.014000000000010004,
N1,100071,link,Bridge end,23.2959719,91.2915274,5.826999999999998,
N1,100072,bridge,Bridge start,23.248333,91.3098056,0.022999999999996135,
N1,100073,link,Bridge end,23.2481663,91.3098889,7.140000000000001,
N1,100074,bridge,Bridge start,23.1866941,91.3212493,0.012000000000000455,
N1,100075,link,Bridge end,23.1866108,91.3212771,2.1400000000000006,
N1,100076,bridge,Bridge start,23.1681382,91.3213604,0.013999999999995794,
N1,100077,link,Bridge end,23.1680549,91.3213604,10.588000000000008,
N1,100078,bridge,Bridge start,23.0808049,91.3548611,0.016999999999995907,
N1,100079,link,Bridge end,23.0806938,91.3549444,11.359000000000009,
N1,100080,bridge,Bridge start,22.9961941,91.4005,0.022999999999996135,
N1,100081,link,Bridge end,22.9960552,91.4006667,5.7479999999999905,
N1,100082,bridge,Bridge start,22.9624167,91.4416941,0.10900000000000887,
N1,100083,link,Bridge end,22.9618056,91.4424997,6.461999999999989,
N1,100084,bridge,Bridge start,22.9496663,91.5007778,0.21100000000001273,
N1,100085,link,Bridge end,22.949583,91.5027778,4.643000000000001,
N1,100086,bridge,Bridge start,22.9156667,91.5259438,0.22799999999998022,
N1,100087,link,Bridge end/Start of Chittagong Road Division / Bridge end/Start of Chittagong Road Division,22.9138056,91.5268604,7.655000000000001,
N1,100088,bridge,Bridge start,22.8485274,91.5463886,0.010000000000019327,
N1,100089,link,Bridge end,22.8484441,91.5464163,7.9669999999999845,
N1,100090,bridge,Bridge start,22.7813327,91.5695271,0.021000000000015007,
N1,100091,link,Bridge end,22.7811382,91.5696382,3.8049999999999784,
N1,100092,bridge,Bridge start,22.7526389,91.5893608,0.023000000000024556,
N1,100093,link,Bridge end,22.7525,91.5894719,16.556999999999988,
N1,100094,bridge,Bridge start,22.6194993,91.6568889,0.020000000000010232,
N1,100095,link,Bridge end / Box culvert,22.6180271,91.6578333,4.649999999999977,
N1,100096,bridge,Bridge start,22.5836663,91.6784716,0.02600000000001046,
N1,100097,link,Bridge end,22.5834997,91.6785827,1.2340000000000089,
N1,100098,bridge,Bridge start,22.5731938,91.6830827,0.018000000000000682,
N1,100099,link,Bridge end,22.5730549,91.6831938,1.0579999999999927,
N1,100100,bridge,Bridge start,22.5641389,91.6859163,0.014000000000010004,
N1,100101,link,Bridge end,22.564,91.6859441,1.6159999999999854,
N1,100102,bridge,Bridge start,22.5503056,91.6902774,0.03100000000000591,
N1,100103,link,Bridge end,22.5501667,91.6903886,3.782999999999987,
N1,100104,bridge,Bridge start,22.519416,91.7053611,0.018000000000000682,
N1,100105,link,Bridge end,22.519265407228914,91.70540328072288,0.3410000000000082,
N1,100106,bridge,Bridge start,22.5165556,91.7065833,0.045000000000015916,A
N1,100107,link,Bridge end,22.5161667,91.70675,0.37599999999997635,
N1,100108,bridge,Bridge start,22.5131389,91.7080833,0.04099999999999682,
N1,100109,link,Bridge end,22.5127778,91.7082222,0.4060000000000059,
N1,100110,bridge,Bridge start,22.5094444,91.7096389,0.012000000000000455,
N1,100111,link,Bridge end,22.5093611,91.7096944,0.23900000000000432,
N1,100112,bridge,Bridge start,22.5074444,91.7105556,0.018000000000000682,
N1,100113,link,Bridge end,22.5073056,91.7106389,1.2719999999999914,
N1,100114,bridge,Bridge start,22.4969163,91.7155556,0.019000000000005457,
N1,100115,link,Bridge end,22.4968052,91.7156389,2.2549999999999955,
N1,100116,bridge,Bridge start,22.4775271,91.7210549,0.025000000000005684,
N1,100117,link,Bridge end,22.4773049,91.7211104,2.2920000000000016,
N1,100118,bridge,Bridge start,22.4588333,91.7303604,0.02600000000001046,
N1,100119,link,Bridge end,22.4586389,91.7304716,1.9120000000000061,
N1,100120,bridge,Bridge start,22.4424997,91.7366663,0.03099999999997749,
N1,100121,link,Bridge end,22.4422219,91.7367497,1.3730000000000189,
N1,100122,bridge,Bridge start,22.4307493,91.7415274,0.042999999999977945,
N1,100123,link,Bridge end,22.4304438,91.7417219,1.6140000000000043,
N1,100124,bridge,Bridge start,22.4185549,91.7504722,0.038000000000010914,
N1,100125,link,Bridge end,22.4182771,91.7506667,2.3009999999999877,
N1,100126,bridge,Bridge start,22.3988608,91.7576667,0.007000000000005002,A
N1,100127,link,Bridge end,22.3988052,91.7576667,1.1160000000000139,
N1,100128,bridge,Bridge start,22.3892497,91.7605,0.0589999999999975,
N1,100129,link,Bridge end,22.3887497,91.7607222,1.75,
N1,100130,bridge,Bridge start,22.3764716,91.770416,0.019000000000005457,
N1,100131,link,Bridge end,22.3762254893617,91.77054326631206,11.065999999999974,
N1,100132,bridge,Bridge start,22.3555,91.8530833,0.014000000000010004,
N1,100133,link,Bridge end,22.3553889,91.8530556,1.4639999999999986,
N1,100134,bridge,Bridge start,22.3427219,91.8531389,0.04400000000001114,A
N1,100135,link,Bridge end,22.3423608,91.8530833,0.4590000000000032,
N1,100136,bridge,Bridge start,22.338362487628867,91.853695585567,0.044999999999987494,
N1,100137,link,Bridge end,22.3380274,91.8538889,0.0800000000000125,
N1,100138,bridge,Bridge start,22.3373886,91.8542778,0.046999999999997044,
N1,100139,link,Bridge end,22.3370274,91.8545278,0.9849999999999852,
N1,100140,bridge,Shah Amanath (Karnaphuli) Bridge,22.3297493,91.8521111,0.9689999999999941,
N1,100141,bridge,Bridge end,22.3212771,91.8536111,0.7020000000000266,
N1,100142,bridge,Bridge start,22.3153611,91.8553056,0.015999999999991132,
N1,100143,link,Bridge end,22.3152222,91.8553333,3.9720000000000084,
N1,100144,bridge,Bridge start,22.2946386,91.8770827,0.1209999999999809,
N1,100145,link,Bridge end,22.2951108,91.8781104,10.490999999999985,
N1,100146,bridge,Bridge start,22.3010278,91.9641667,0.05200000000002092,
N1,100147,link,Bridge end,22.3009444,91.9646667,3.3249999999999886,
N1,100148,bridge,Bridge start,22.286583,91.9911108,0.07200000000000273,
N1,100149,link,Bridge end,22.2863052,91.991583,3.4460000000000264,
N1,100150,bridge,Bridge start,22.2622222,92.0070556,0.014000000000010004,C
N1,100151,link,Bridge end,22.26210145564516,92.00708382580645,4.143999999999949,
N1,100152,bridge,Bridge start,22.2316938,92.0248882,0.014000000000010004,
N1,100153,link,Bridge end,22.2315827,92.0249438,0.22800000000000864,
N1,100154,bridge,Bridge start,22.2278882,92.025916,0.012000000000000455,
N1,100155,link,Bridge end,22.2277771,92.0259438,2.518000000000029,
N1,100156,bridge,Bridge start,22.2084444,92.0356663,0.05499999999994998,B
N1,100157,link,Bridge end,22.2080278,92.0357774,0.28600000000000136,
N1,100158,bridge,Bridge start,22.2059444,92.0370274,0.012000000000000455,
N1,100159,link,Bridge end,22.2058889,92.0371386,6.740000000000009,
N1,100160,bridge,Bridge start,22.1596667,92.0674716,0.21700000000004138,
N1,100161,link,Bridge end,22.1580556,92.0686104,0.9319999999999595,
N1,100162,bridge,Bridge start,22.1509722,92.0696938,0.009000000000014552,
N1,100163,link,Bridge end,22.1508889,92.069666,2.2409999999999854,
N1,100164,bridge,Bridge start,22.1308049,92.070416,0.06100000000003547,
N1,100165,link,Bridge end,22.1304716,92.0704993,0.22399999999998954,
N1,100166,bridge,Bridge start,22.1285271,92.0708604,0.03100000000000591,
N1,100167,link,Bridge end,22.1282771,92.070916,7.892999999999972,
N1,100168,bridge,Bridge start,22.0699438,92.1038333,0.03300000000001546,
N1,100169,link,Bridge end,22.0698049,92.104,0.742999999999995,
N1,100170,bridge,Bridge start,22.0641667,92.107,0.045000000000015916,
N1,100171,link,Bridge end,22.0638611,92.1070833,4.125999999999976,
N1,100172,bridge,Bridge start,22.028916,92.1035556,0.07400000000001228,
N1,100173,link,Bridge end,22.0283327,92.1031944,4.834000000000003,
N1,100174,bridge,Bridge start,21.9913886,92.086083,0.060000000000002274,
N1,100175,link,Bridge end,21.9908886,92.0859163,0.5849999999999795,
N1,100176,bridge,Bridge start,21.9862219,92.0835274,0.02400000000000091,
N1,100177,link,Bridge end,21.9860552,92.0834441,0.6539999999999964,
N1,100178,bridge,Bridge start,21.9811104,92.0800271,0.025000000000034106,
N1,100179,link,Bridge end,21.9810549,92.0799438,3.0009999999999764,
N1,100180,bridge,Bridge start,21.9620278,92.0633611,0.021000000000015007,
N1,100181,link,Bridge end,21.9618611,92.0634444,1.329999999999984,
N1,100182,bridge,Bridge start,21.9516111,92.0678604,0.021000000000015007,
N1,100183,link,Bridge end,21.9514444,92.0678604,10.503999999999962,
N1,100184,bridge,Bridge start,21.8597222,92.0602778,0.05900000000002592,
N1,100185,link,Bridge end,21.8592222,92.0604444,4.016999999999996,
N1,100186,bridge,Bridge start,21.8256938,92.0723882,0.04800000000000182,
N1,100187,link,Bridge end,21.8252771,92.0725549,2.6779999999999973,
N1,100188,bridge,Bridge start,21.8031389,92.0772493,0.014999999999986358,
N1,100189,link,Bridge end,21.8030278,92.0772771,3.9670000000000414,
N1,100190,bridge,Bridge start,21.7711938,92.0816382,0.3109999999999786,
N1,100191,link,Bridge end,21.7693327,92.079416,4.713000000000022,
N1,100192,bridge,Bridge start,21.7299993,92.083833,0.03899999999998727,
N1,100193,link,Bridge end,21.7296382,92.083833,6.555000000000007,
N1,100194,bridge,Bridge start,21.6747493,92.0766104,0.06199999999995498,
N1,100195,link,Bridge end,21.6742216,92.0765549,1.6380000000000337,
N1,100196,bridge,Bridge start,21.6590556,92.0751382,0.055999999999983174,
N1,100197,link,Bridge end,21.653,92.0751382,1.021000000000015,
N1,100198,bridge,Bridge start,21.6497219,92.0733049,0.06200000000001182,
N1,100199,link,Bridge end,21.6491941,92.0733049,4.161000000000001,
N1,100200,bridge,Bridge start,21.617166,92.0679993,0.05099999999998772,A
N1,100201,link,Bridge end,21.6167771,92.0678049,7.389999999999986,
N1,100202,bridge,Bridge start,21.5553056,92.067916,0.05200000000002092,
N1,100203,link,Bridge end,21.5548889,92.0678049,0.4230000000000018,
N1,100204,bridge,Bridge start,21.5484719,92.0670827,0.04599999999999227,
N1,100205,link,Bridge end,21.548083,92.0670271,2.6750000000000114,
N1,100206,bridge,Bridge start,21.5234716,92.0656111,0.01999999999998181,
N1,100207,link,Bridge end,21.5233049,92.0656389,7.370999999999981,
N1,100208,bridge,Bridge start,21.4712216,92.0998886,0.05900000000002592,
N1,100209,link,Bridge end,21.4708049,92.1002222,3.7729999999999677,
N1,100210,bridge,Bridge start,21.4421663,92.1008611,0.05600000000004002,
N1,100211,link,Bridge end,21.4417497,92.1006667,2.2029999999999745,
N1,100212,bridge,Bridge start,21.427916,92.0896108,0.025000000000034106,
N1,100213,link,Bridge end,21.4278882,92.0893886,4.4249999999999545,
N1,100214,bridge,Bridge start,21.4274993,92.0484441,0.018000000000029104,
N1,100215,link,Bridge end,21.4275271,92.0483886,1.8460000000000036,
N1,100216,bridge,Bridge start,21.4294438,92.0316104,0.1409999999999627,
N1,100217,link,Bridge end,21.4300827,92.0304716,3.761000000000024,
N1,100218,bridge,Bridge start,21.4115,92.0438052,0.04800000000000182,
N1,100219,link,Bridge end,21.4111667,92.0441108,3.0819999999999936,
N1,100220,bridge,Bridge start,21.3986941,92.0665556,0.014999999999986358,
N1,100221,link,Bridge end,21.398583,92.0665833,1.1040000000000418,
N1,100222,bridge,Bridge start,21.3891108,92.0686938,0.01799999999997226,
N1,100223,link,Bridge end,21.3889441,92.0688049,5.641999999999996,
N1,100224,bridge,Bridge start,21.3463608,92.0790271,0.02600000000001046,
N1,100225,link,Bridge end,21.3461386,92.0789993,1.9050000000000296,
N1,100226,bridge,Khulna Plong Bridge,21.3297771,92.0787771,0.031999999999982265,
N1,100227,link,Bridge end,21.3295271,92.0789438,0.9350000000000023,
N1,100228,bridge,Bridge start,21.3241104,92.085333,0.05500000000000682,
N1,100229,link,Bridge end,21.3238049,92.0857219,0.9619999999999891,
N1,100230,bridge,Bridge start,21.3179438,92.0921663,0.01999999999998181,
N1,100231,link,Bridge end,21.3177771,92.0922497,0.7950000000000159,
N1,100232,bridge,Bridge start,21.3125,92.096333,0.05200000000002092,
N1,100233,link,Bridge end,21.3121944,92.0966941,2.0079999999999814,
N1,100234,bridge,Bridge start,21.2956386,92.0993886,0.07400000000001228,
N1,100235,link,Bridge end,21.2949997,92.0993886,1.3829999999999814,
N1,100236,bridge,Bridge start,21.282777512080536,92.10067986442952,0.012999999999976808,
N1,100237,link,Bridge end,21.282666,92.1006944,1.899000000000001,
N1,100238,bridge,Bridge start,21.2678604,92.1088333,0.02600000000001046,
N1,100239,link,Bridge end,21.2677493,92.109,0.6850000000000023,
N1,100240,bridge,Bridge start,21.2639722,92.1141944,0.045000000000015916,
N1,100241,link,Bridge end,21.2637222,92.1144722,0.23399999999998045,
N1,100242,bridge,Bridge start,21.2623611,92.1161667,0.018000000000029104,
N1,100243,link,Bridge end,21.26225,92.1163056,0.9389999999999645,
N1,100244,bridge,Bridge start,21.2565556,92.122916,0.013000000000033651,
N1,100245,link,Bridge end,21.2565,92.1229716,0.9019999999999868,
N1,100246,bridge,Bridge start,21.2504722,92.1307493,0.08999999999997499,A
N1,100247,link,Bridge end,21.2504167,92.1307493,0.7810000000000059,
N1,100248,bridge,Bridge start,21.248083,92.1341108,0.013000000000033651,
N1,100249,link,Bridge end,21.2479997,92.1342219,0.7239999999999895,
N1,100250,bridge,Bridge start,21.242333,92.1413608,0.02199999999999136,D
N1,100251,link,Bridge end,21.2422219,92.1415552,7.8489999999999895,
N1,100252,bridge,Bridge start,21.1925552,92.1697216,0.04200000000003001,
N1,100253,link,Bridge end,21.1923052,92.1695271,1.2040000000000077,
N1,100254,bridge,Bridge start,21.1859441,92.1610833,0.022999999999967713,A
N1,100255,link,Bridge end,21.185833,92.1609167,1.9909999999999854,
N1,100256,bridge,Bridge start,21.1698049,92.1545833,0.04800000000000182,C
N1,100257,link,Bridge end,21.1694993,92.1543056,0.5830000000000268,
N1,100258,bridge,Bridge start,21.1652222,92.1521667,0.031999999999982265,
N1,100259,link,Bridge end,21.1649444,92.1521944,2.61099999999999,
N1,100260,bridge,Bridge start,21.1442774,92.1586389,0.019000000000005457,A
N1,100261,link,Bridge end,21.1441663,92.1586944,0.32900000000000773,
N1,100262,bridge,Bridge start,21.1414997,92.1599167,0.06099999999997863,
N1,100263,link,Bridge end,21.1410552,92.1602222,1.5640000000000214,
N1,100264,bridge,Bridge start,21.1368886,92.173916,0.03000000000002956,
N1,100265,link,Bridge end,21.1367219,92.1741382,0.8669999999999618,
N1,100266,bridge,Bridge start,21.1333886,92.1806938,0.016999999999995907,
N1,100267,link,Bridge end,21.1333608,92.1808327,2.886000000000024,
N1,100268,bridge,Bridge start,21.1151667,92.1975552,0.07799999999997453,
N1,100269,link,Bridge end,21.1146111,92.1979719,2.9320000000000164,
N1,100270,bridge,Bridge start,21.0939441,92.2118611,0.036000000000001364,
N1,100271,link,Bridge end,21.0936663,92.2119444,4.358000000000004,
N1,100272,bridge,Bridge start,21.0597778,92.2263882,0.014999999999986358,
N1,100273,link,Bridge end,21.0596667,92.2263882,1.174000000000035,
N1,100274,bridge,Bridge start,21.0513611,92.2302493,0.03799999999995407,
N1,100275,link,Bridge end,21.0513611,92.2305827,2.111000000000047,
N1,100276,bridge,Bridge start,21.0363608,92.2396941,0.04099999999999682,
N1,100277,link,Bridge end,21.0360552,92.2398608,1.5139999999999532,
N1,100278,bridge,Bridge start,21.0228882,92.2420274,0.03500000000002501,A
N1,100279,link,Bridge end,21.0226104,92.2420552,3.031000000000006,
N1,100280,bridge,Bridge start,20.9990274,92.2537778,0.05000000000001137,B
N1,100281,link,Bridge end,20.9986386,92.2538889,2.447999999999979,
N1,100282,bridge,Bridge start,20.9778049,92.25075,0.031999999999982265,B
N1,100283,link,Bridge end,20.9775827,92.2506111,1.2300000000000182,
N1,100284,bridge,Bridge start,20.9673604,92.2491663,0.04200000000003001,A
N1,100285,link,Bridge end,20.9671104,92.2494441,0.6599999999999682,
N1,100286,bridge,Bridge start,20.9622778,92.2528889,0.03100000000000591,
N1,100287,link,Bridge end,20.9620556,92.2530556,1.7069999999999936,
N1,100288,bridge,Bridge start,20.9482774,92.2589167,0.04599999999999227,A
N1,100289,link,Bridge end,20.9481386,92.2593056,1.367999999999995,
N1,100290,bridge,Bridge start,20.9373886,92.2623333,0.040000000000020464,
N1,100291,link,Bridge end,20.9371108,92.2624722,0.8650000000000091,
N1,100292,bridge,Bridge start,20.929666,92.2641111,0.03699999999997772,
N1,100293,link,Bridge end,20.9293327,92.2641389,0.6370000000000005,
N1,100294,bridge,Bridge start,20.9238882,92.2653889,0.05099999999998772,
N1,100295,link,Bridge end,20.9234993,92.2656111,0.5300000000000296,
N1,100296,bridge,Bridge start,20.9195827,92.268416,0.016999999999995907,
N1,100297,link,Bridge end,20.9194993,92.2684716,0.4800000000000182,
N1,100298,bridge,Bridge start,20.9157222,92.2704993,0.03799999999995407,
N1,100299,link,Bridge end,20.9154167,92.2706938,0.9050000000000296,
N1,100300,bridge,Bridge start,20.9088889,92.275166,0.047000000000025466,
N1,100301,link,Bridge end,20.9085556,92.2753604,1.1319999999999482,
N1,100302,bridge,Bridge start,20.9003333,92.2807216,0.036000000000001364,
N1,100303,link,Bridge end,20.9001111,92.2809716,0.27700000000004366,
N1,100304,bridge,Bridge start,20.8984719,92.2828604,0.04699999999996862,
N1,100305,link,Bridge end,20.8982219,92.283166,0.30000000000001137,
N1,100306,bridge,Bridge start,20.8969163,92.2854441,0.03300000000001546,
N1,100307,link,Bridge end,20.8967774,92.2857219,0.45299999999997453,
N1,100308,bridge,Bridge start,20.894083,92.2887774,0.02400000000000091,
N1,100309,link,Bridge end,20.8939441,92.2889163,0.3760000000000332,
N1,100310,bridge,Bridge start,20.8919163,92.2916663,0.01999999999998181,
N1,100311,link,Bridge end,20.8918886,92.2918052,0.7980000000000018,
N1,100312,bridge,Bridge start,20.8889163,92.2982497,0.014999999999986358,
N1,100313,link,Bridge end,20.888833,92.2983886,1.4590000000000032,
N1,100314,bridge,Bridge start,20.8768604,92.2978886,0.043000000000006366,
N1,100315,link,Bridge end,20.8764993,92.2978886,1.2719999999999914,
N1,100316,bridge,Bridge start,20.8650278,92.2982497,0.04200000000003001,
N1,100317,link,Bridge end,20.8646667,92.2981941,0.3079999999999927,
N1,100318,sink,"End of Road at Shapla Chattar ,Teknaf Meet with Z1098 &Z1099.",20.8629167,92.298083,0.0,
